user_id,view,cart,remove_from_cart,purchase
4661182,2.0,,,
12961898,,2.0,1.0,
27692594,,1.0,,
31272873,,1.0,1.0,
46383252,2.0,1.0,,1.0
47076222,5.0,,,
53730108,,1.0,,
69338137,1.0,,,
71769733,,1.0,,
72655920,1.0,,,
72931003,,1.0,1.0,
76025480,2.0,,,
79336809,,1.0,,
81429390,,,1.0,
83998413,,1.0,1.0,
88046352,2.0,,,
95758554,2.0,,,
105697630,,,,1.0
120311309,1.0,,,
121478881,1.0,,,
121915612,1.0,,,
125235523,1.0,,,
127320188,1.0,,,
129845309,3.0,1.0,1.0,
131780474,1.0,,,
132447050,,,2.0,
134109334,1.0,,,
135535592,,1.0,1.0,2.0
144736478,1.0,,,
145801836,1.0,,,
146799487,2.0,1.0,,
149005745,2.0,1.0,,1.0
149797702,,1.0,,1.0
150318419,1.0,,,
153194086,1.0,,,
153474813,2.0,1.0,,
154065884,1.0,1.0,,1.0
154124582,,1.0,,
156408650,1.0,2.0,,1.0
157703972,1.0,,,
159486861,1.0,,,
160378970,1.0,,,
161395245,2.0,,,
164126863,1.0,,,
164283472,1.0,,,
164492659,,1.0,,
165349588,,1.0,,1.0
169057477,,1.0,,
170386254,,1.0,,1.0
170494401,1.0,,,
172368833,1.0,2.0,1.0,1.0
172974485,,1.0,,
173017903,1.0,,,
174313626,4.0,,,
174980657,3.0,,,1.0
176992224,,1.0,,
177289948,4.0,,,
177390915,,1.0,,
181122527,2.0,2.0,1.0,1.0
182284336,1.0,1.0,1.0,
184175105,1.0,,,1.0
184386547,,1.0,1.0,1.0
187485568,,1.0,1.0,
187565158,2.0,1.0,,1.0
188215912,1.0,1.0,,
188580638,,1.0,1.0,
189380898,1.0,1.0,,1.0
190636306,1.0,,,
190662861,1.0,,,
190976179,3.0,1.0,,
192069145,1.0,,,
194124069,1.0,,,
194129364,,1.0,1.0,
196042408,3.0,,,
196780785,1.0,1.0,,1.0
197004660,,,1.0,
198321850,1.0,,,
200054936,3.0,1.0,,1.0
201744074,1.0,,,
201813707,,1.0,,
202233709,1.0,,,
202282189,,1.0,,1.0
203271122,1.0,,,
